season,team,streak_count,start_date,end_date,elo_delta,elo_delta_per_game
1947,WSC,17,1946-11-16,1946-12-30,131.38210000000004,7.728358823529414
1947,WSC,15,1947-02-15,1947-03-19,81.7654,5.4510266666666665
1949,WSC,15,1948-11-03,1948-12-04,84.29939999999988,5.619959999999992
1949,ROC,13,1949-02-10,1949-03-12,52.03760000000011,4.002892307692316
1950,ROC,15,1950-02-17,1950-03-19,71.78610000000003,4.785740000000002
1950,MNL,14,1950-01-22,1950-02-22,66.60680000000002,4.757628571428573
1950,SYR,12,1949-11-12,1949-12-08,84.08300000000031,7.006916666666693
1954,MNL,11,1954-01-18,1954-02-06,61.17800000000011,5.5616363636363735
1958,BOS,14,1957-10-22,1957-11-27,95.41949999999997,6.8156785714285695
1959,BOS,11,1958-12-10,1958-12-29,68.41339999999991,6.219399999999992
1960,BOS,17,1959-11-28,1959-12-30,109.09069999999997,6.417099999999998
1963,LAL,11,1962-12-29,1963-01-18,46.78989999999999,4.253627272727272
1964,CIN,12,1964-01-30,1964-02-17,65.25379999999996,5.437816666666663
1965,BOS,11,1964-10-17,1964-11-11,60.62839999999983,5.511672727272711
1965,BOS,16,1964-12-19,1965-01-22,72.45100000000002,4.528187500000001
1966,PHI,11,1966-03-03,1966-03-20,41.50999999999999,3.773636363636363
1967,PHI,11,1966-11-24,1966-12-10,40.29549999999995,3.663227272727268
1967,PHI,11,1966-12-13,1967-01-04,44.833700000000135,4.075790909090921
1967,BOS,11,1967-01-17,1967-02-01,52.65599999999995,4.786909090909086
1968,PTP,15,1967-12-03,1968-01-04,107.49020000000019,7.166013333333345
1968,PTP,12,1968-02-13,1968-03-07,65.46050000000014,5.455041666666678
1969,NYK,11,1969-01-25,1969-02-15,65.8742000000002,5.988563636363654
1969,ATL,12,1968-12-08,1969-01-03,96.35040000000004,8.029200000000003
1969,OAK,16,1968-12-10,1969-01-19,99.70049999999992,6.231281249999995
1969,INA,13,1969-02-25,1969-03-26,88.0438999999999,6.772607692307684
1969,NOB,13,1969-03-09,1969-04-01,94.52780000000007,7.271369230769237
1970,NYK,18,1969-10-24,1969-11-28,97.19430000000011,5.399683333333339
1970,DNR,15,1969-12-20,1970-01-25,99.05960000000005,6.603973333333337
1971,MIL,16,1970-10-24,1970-11-25,109.31270000000018,6.832043750000011
1971,MIL,20,1971-02-06,1971-03-08,100.86929999999984,5.043464999999992
1972,GSW,11,1971-12-29,1972-01-22,74.95050000000015,6.8136818181818315
1972,LAL,33,1971-11-05,1972-01-07,208.84100000000012,6.328515151515155
1972,KEN,12,1972-01-27,1972-02-20,49.03769999999986,4.0864749999999885
1973,NYK,11,1972-12-28,1973-01-16,45.683100000000195,4.153009090909109
1973,LAL,13,1972-10-29,1972-11-26,48.460599999999886,3.727738461538453
1973,LAL,11,1973-01-19,1973-02-06,80.62840000000006,7.329854545454551
1973,INA,11,1973-02-26,1973-03-21,55.222299999999905,5.020209090909082
1973,CAR,11,1972-12-19,1973-01-09,66.00909999999999,6.000827272727272
1973,MIL,14,1973-02-28,1973-03-27,79.40910000000008,5.672078571428577
1974,CHI,12,1973-10-13,1973-11-11,81.9339,6.827825
1974,UTS,14,1974-01-21,1974-02-18,75.5974000000001,5.399814285714293
1974,BOS,12,1973-10-31,1973-11-28,70.49409999999989,5.874508333333324
1974,MIL,13,1973-10-17,1973-11-13,61.41020000000003,4.7238615384615406
1975,BOS,11,1975-01-17,1975-02-05,50.52639999999997,4.593309090909088
1975,BUF,11,1974-11-03,1974-11-23,105.12879999999996,9.557163636363633
1979,LAL,14,1978-10-27,1978-11-22,85.00319999999988,6.071657142857134
1981,BOS,12,1980-12-09,1981-01-01,79.10140000000001,6.591783333333335
1981,BOS,13,1981-01-04,1981-01-28,39.5612000000001,3.043169230769238
1981,PHI,12,1980-10-15,1980-11-11,93.0168000000001,7.751400000000008
1982,BOS,18,1982-02-24,1982-03-26,83.73829999999998,4.6521277777777765
1982,DEN,12,1982-03-10,1982-04-02,95.49469999999997,7.957891666666664
1982,MIL,12,1982-01-26,1982-02-21,68.6907000000001,5.724225000000009
1983,SEA,12,1982-10-29,1982-11-19,92.43990000000008,7.703325000000007
1983,NJN,11,1982-12-23,1983-01-12,67.46100000000001,6.132818181818183
1983,DEN,11,1983-02-24,1983-03-15,102.41360000000009,9.31032727272728
1983,PHI,14,1982-12-21,1983-01-21,60.197099999999864,4.299792857142847
1985,PHI,13,1984-12-22,1985-01-16,66.27219999999988,5.09786153846153
1985,MIL,11,1985-01-09,1985-02-02,60.358999999999924,5.487181818181811
1986,BOS,13,1986-01-08,1986-02-05,76.3137999999999,5.8702923076923
1986,BOS,14,1986-03-11,1986-04-04,50.65499999999997,3.618214285714284
1987,ATL,11,1987-02-27,1987-03-17,84.47849999999994,7.679863636363631
1987,LAL,11,1987-03-26,1987-04-16,51.69430000000011,4.6994818181818285
1988,DAL,11,1988-02-14,1988-03-04,56.90169999999989,5.172881818181808
1988,LAL,15,1987-12-11,1988-01-12,70.17840000000024,4.678560000000016
1989,CLE,11,1988-12-15,1989-01-07,65.69100000000003,5.971909090909094
1990,DET,13,1990-01-23,1990-02-21,64.89949999999999,4.99226923076923
1990,DET,12,1990-02-25,1990-03-20,60.03370000000018,5.002808333333348
1990,PHI,12,1990-01-13,1990-02-05,91.84349999999995,7.6536249999999955
1991,HOU,13,1991-03-03,1991-03-28,92.69960000000015,7.130738461538472
1991,POR,11,1990-11-02,1990-11-25,69.69810000000007,6.336190909090916
1991,POR,16,1991-03-20,1991-04-19,86.50379999999996,5.406487499999997
1991,DET,11,1990-12-26,1991-01-17,39.27070000000003,3.5700636363636393
1991,CHI,11,1991-02-04,1991-03-01,49.980600000000095,4.543690909090918
1991,LAL,16,1991-01-09,1991-02-05,89.5199,5.59499375
1992,CHI,14,1991-11-06,1991-12-06,63.78229999999985,4.55587857142856
1992,CHI,13,1992-01-04,1992-01-25,41.49420000000009,3.1918615384615454
1992,CLE,11,1991-12-20,1992-01-11,104.88779999999997,9.535254545454542
1993,HOU,15,1993-02-13,1993-03-18,139.59350000000018,9.306233333333346
1993,HOU,11,1993-04-01,1993-04-22,67.63489999999979,6.1486272727272535
1993,PHO,14,1992-12-01,1992-12-30,69.39160000000015,4.9565428571428685
1993,PHO,11,1993-03-23,1993-04-11,60.121900000000096,5.465627272727281
1994,NYK,15,1994-03-01,1994-04-02,88.82019999999989,5.921346666666659
1994,CLE,11,1994-02-18,1994-03-08,53.703399999999874,4.882127272727261
1994,ATL,14,1993-11-16,1993-12-14,104.6848,7.477485714285714
1994,HOU,15,1993-11-05,1993-12-02,91.0320999999999,6.06880666666666
1994,SAS,13,1994-01-22,1994-02-21,54.20620000000008,4.169707692307698
1995,UTA,14,1995-01-07,1995-02-01,75.6268,5.401914285714286
1995,SAS,15,1995-03-14,1995-04-09,66.5435,4.436233333333333
1995,CLE,11,1994-12-09,1994-12-30,71.2005999999999,6.472781818181809
1996,SEA,14,1996-02-03,1996-03-05,53.019199999999955,3.7870857142857113
1996,CHI,13,1995-11-27,1995-12-23,66.08369999999991,5.083361538461531
1996,CHI,18,1995-12-29,1996-02-02,92.54299999999989,5.141277777777772
1996,SAS,17,1996-02-29,1996-03-31,78.75,4.632352941176471
1997,UTA,15,1996-11-13,1996-12-10,76.26949999999988,5.084633333333326
1997,UTA,15,1997-03-12,1997-04-11,68.07349999999997,4.538233333333332
1997,CHI,12,1996-11-01,1996-11-21,50.26109999999994,4.188424999999995
1997,SEA,11,1996-11-07,1996-11-24,70.68200000000002,6.425636363636365
1997,POR,11,1997-02-28,1997-03-20,90.481,8.225545454545454
1997,PHO,11,1997-03-20,1997-04-10,74.2668000000001,6.751527272727282
1997,MIA,11,1997-01-27,1997-02-20,45.63499999999999,4.148636363636363
1998,LAL,11,1997-10-31,1997-11-23,74.66489999999999,6.787718181818181
1998,ATL,11,1997-10-31,1997-11-18,46.54500000000007,4.231363636363643
1998,UTA,11,1998-02-26,1998-03-16,52.531400000000076,4.775581818181825
1998,CHI,13,1998-03-14,1998-04-07,60.531799999999976,4.656292307692306
1999,UTA,11,1999-04-01,1999-04-18,52.10140000000001,4.73649090909091
2000,POR,11,2000-02-04,2000-02-27,34.256599999999935,3.114236363636358
2000,LAL,16,1999-12-11,2000-01-12,88.48720000000003,5.530450000000002
2000,LAL,19,2000-02-04,2000-03-13,93.54539999999997,4.923442105263156
2000,LAL,11,2000-03-17,2000-04-05,51.614900000000034,4.69226363636364
2001,MIN,11,2001-01-17,2001-02-07,102.94460000000004,9.358600000000003
2002,POR,12,2002-02-17,2002-03-08,75.75999999999999,6.313333333333333
2002,SAC,12,2001-12-23,2002-01-21,60.02240000000006,5.001866666666672
2002,SAC,11,2002-03-26,2002-04-12,79.79239999999982,7.253854545454529
2002,SAS,13,2002-03-01,2002-03-25,76.19769999999994,5.861361538461534
2003,SAS,11,2003-03-23,2003-04-11,51.030700000000024,4.639154545454548
2003,DAL,14,2002-10-30,2002-11-27,98.4168000000002,7.0297714285714425
2004,LAL,11,2004-03-13,2004-04-02,53.52980000000002,4.866345454545456
2004,SAS,13,2003-12-05,2003-12-28,68.64049999999997,5.280038461538459
2004,SAS,11,2004-03-25,2004-04-14,61.12259999999992,5.556599999999992
2004,DET,13,2003-12-27,2004-01-19,81.99509999999987,6.307315384615374
2004,NJN,14,2004-01-25,2004-02-24,113.05809999999997,8.075578571428569
2005,DET,11,2005-03-30,2005-04-19,65.83609999999999,5.985099999999999
2005,PHO,11,2004-12-05,2004-12-26,62.40689999999995,5.673354545454541
2005,MIA,14,2004-12-06,2005-01-01,91.3436999999999,6.5245499999999925
2005,MIA,12,2005-02-26,2005-03-19,58.13270000000011,4.844391666666676
2006,PHO,11,2006-02-08,2006-03-06,66.27299999999991,6.024818181818174
2006,DAL,13,2006-01-14,2006-02-09,76.88069999999993,5.913899999999995
2006,NJN,14,2006-03-12,2006-04-06,131.85000000000014,9.417857142857153
2006,DET,11,2006-01-10,2006-01-29,58.32459999999992,5.302236363636356
2007,PHO,15,2006-11-20,2006-12-19,100.61940000000004,6.707960000000003
2007,PHO,17,2006-12-29,2007-01-28,93.38489999999979,5.493229411764694
2007,DAL,12,2006-11-09,2006-12-01,74.03089999999997,6.1692416666666645
2007,DAL,13,2006-12-13,2007-01-05,69.04200000000014,5.310923076923088
2007,DAL,17,2007-01-27,2007-03-11,59.19950000000017,3.482323529411775
2007,SAS,13,2007-02-13,2007-03-13,86.75029999999992,6.6730999999999945
2008,SAS,11,2008-02-11,2008-03-06,45.909599999999955,4.173599999999996
2008,HOU,22,2008-01-29,2008-03-16,130.6751999999999,5.939781818181814
2008,POR,13,2007-12-03,2007-12-30,119.46569999999997,9.189669230769228
2008,DET,11,2007-12-14,2008-01-04,67.61519999999996,6.14683636363636
2009,CLE,11,2008-11-22,2008-12-12,60.25360000000023,5.477600000000021
2009,CLE,13,2009-03-07,2009-03-31,35.938899999999876,2.7645307692307597
2009,BOS,19,2008-11-15,2008-12-23,83.82950000000005,4.412078947368424
2009,BOS,12,2009-01-11,2009-02-03,66.41349999999989,5.5344583333333235
2009,UTA,12,2009-02-11,2009-03-10,82.51569999999992,6.876308333333327
2010,DAL,13,2010-02-17,2010-03-10,77.18229999999994,5.937099999999996
2010,LAL,11,2009-11-17,2009-12-11,41.58220000000006,3.780200000000005
2010,CLE,13,2010-01-16,2010-02-11,29.870599999999968,2.297738461538459
2010,BOS,11,2009-11-22,2009-12-14,68.53510000000006,6.230463636363641
2011,BOS,14,2010-11-22,2010-12-22,80.97620000000006,5.78401428571429
2011,MIA,12,2010-11-29,2010-12-18,105.51120000000014,8.792600000000013
2011,SAS,12,2010-11-01,2010-11-24,77.12979999999993,6.427483333333328
2011,DAL,12,2010-11-20,2010-12-11,74.73710000000005,6.228091666666671
2012,SAS,11,2012-01-30,2012-02-20,74.63159999999993,6.784690909090903
2012,SAS,11,2012-03-21,2012-04-08,56.5646999999999,5.142245454545446
2013,MIA,27,2013-02-03,2013-03-25,121.78690000000006,4.510625925925928
2013,SAS,11,2013-01-13,2013-02-06,34.88220000000001,3.1711090909090918
2013,DEN,15,2013-02-23,2013-03-23,78.33889999999997,5.222593333333331
2013,LAC,17,2012-11-28,2012-12-30,106.72520000000009,6.277952941176475
2013,OKC,12,2012-11-24,2012-12-19,60.07239999999979,5.006033333333316
2013,NYK,13,2013-03-18,2013-04-09,120.00199999999995,9.230923076923073
2014,LAC,11,2014-02-23,2014-03-16,71.47270000000003,6.497518181818185
2014,POR,11,2013-11-08,2013-11-25,107.30340000000001,9.754854545454547
2014,SAS,11,2013-11-05,2013-11-25,71.42990000000009,6.493627272727281
2014,SAS,19,2014-02-26,2014-04-02,109.93039999999996,5.785810526315788
2015,SAS,11,2015-03-25,2015-04-12,82.98749999999995,7.544318181818178
2015,GSW,16,2014-11-13,2014-12-14,99.91290000000004,6.244556250000002
2015,GSW,12,2015-03-14,2015-04-04,65.56809999999996,5.46400833333333
2015,ATL,19,2014-12-27,2015-01-31,124.25819999999999,6.539905263157894
2015,CLE,12,2015-01-15,2015-02-05,119.19779999999992,9.933149999999992
2016,GSW,24,2015-10-27,2015-12-11,95.65133931853961,3.985472471605817
2016,GSW,11,2016-01-18,2016-02-10,67.2954750832098,6.1177704621099815
2016,SAS,13,2015-12-26,2016-01-22,44.22628335022,3.4020217961707693
2016,TOR,11,2016-01-06,2016-01-30,64.8658713191603,5.896897392650937
2017,GSW,12,2016-11-07,2016-11-28,69.5734736032498,5.797789466937483
2017,GSW,14,2017-03-14,2017-04-08,67.78638720035974,4.841884800025696
2017,MIA,13,2017-01-17,2017-02-10,119.25944632124038,9.173803563172337
2018,BOS,16,2017-10-20,2017-11-20,116.06014333811981,7.253758958632488
2018,HOU,14,2017-11-16,2017-12-18,95.2998926404598,6.8071351886042715
2018,HOU,17,2018-01-28,2018-03-07,113.58354586931023,6.681385051135896
2018,HOU,11,2018-03-11,2018-03-30,33.803619765629946,3.0730563423299952
2018,CLE,13,2017-11-11,2017-12-06,95.48767631141004,7.345205870108464
2018,GSW,11,2017-11-29,2017-12-22,40.30082369976003,3.66371124543273
2018,PHI,16,2018-03-15,2018-04-11,85.15096676153007,5.3219354225956295
2018,POR,13,2018-02-14,2018-03-18,108.03979440939997,8.31075341610769
2018,UTA,11,2018-01-24,2018-02-14,139.05252322898968,12.641138475362698
2018,TOR,11,2018-02-26,2018-03-16,46.44175066857997,4.22197733350727
2019,GSW,11,2019-01-05,2019-01-28,112.55895075480021,10.23263188680002
